task_number,topic_code,topic_name,difficulty_level,difficulty_label,has_hints,num_steps,answer,source
1,GRAPH-BASICS,Анализ информационных моделей,2,easy,True,4,11,Demo 2024 Base Logic
1,GRAPH-BASICS,Анализ информационных моделей,9,hard,True,5,14,Statgrad 2025
1,GRAPH-BASICS,Анализ информационных моделей,5,medium,True,3,42,FIPI Open Bank
2,LOGIC-TRUTH,Таблицы истинности,3,easy,True,4,yzx,Demo 2024
2,LOGIC-TRUTH,Таблицы истинности,9,hard,True,3,wzyx,Statgrad Hard
2,LOGIC-TRUTH,Таблицы истинности,6,medium,True,4,yxzw,FIPI Bank
3,DB-SEARCH,Базы данных (Excel/SQL),2,easy,True,4,465549,FIPI Base
3,DB-SEARCH,Базы данных (Excel/SQL),8,hard,True,5,820815,Statgrad Hard
3,DB-SEARCH,Базы данных (Excel/SQL),5,medium,True,5,703384,FIPI Open Bank
4,INFO-ENCODING,Кодирование (Фано),3,easy,True,5,111,FIPI Open Bank
4,INFO-ENCODING,Кодирование (Фано),8,hard,True,7,10,Statgrad
4,INFO-ENCODING,Кодирование (Фано),5,medium,True,6,100,Demo 2024
5,ALG-EXEC,Алгоритмы для исполнителей,3,easy,True,2,33,FIPI Base
5,ALG-EXEC,Алгоритмы для исполнителей,8,hard,True,3,428,Statgrad Hard
5,ALG-EXEC,Алгоритмы для исполнителей,6,medium,True,2,45,Demo 2025
6,ALG-TURTLE,Исполнитель Черепаха,3,easy,True,3,99,FIPI Base
6,ALG-TURTLE,Исполнитель Черепаха,9,hard,True,3,38,Statgrad Hard
6,ALG-TURTLE,Исполнитель Черепаха,6,medium,True,3,177,EGE PDF Task
7,INFO-MEDIA,Кодирование графической информации,3,easy,True,3,75,FIPI Base
7,INFO-MEDIA,Передача информации,8,hard,True,3,139,EGE PDF Task
7,INFO-MEDIA,Кодирование звуковой информации,5,medium,True,3,33,FIPI Open Bank
8,COMBINATORICS,Комбинаторика,3,easy,True,2,226,FIPI Base
8,COMBINATORICS,Комбинаторика,8,hard,True,2,2969,FIPI PDF
8,COMBINATORICS,Комбинаторика,5,medium,True,2,80,FIPI Bank
9,EXCEL-COND,Электронные таблицы,3,easy,True,1,239,FIPI Base
9,EXCEL-COND,Электронные таблицы,8,hard,True,1,726,Statgrad Hard
9,EXCEL-COND,Электронные таблицы,6,medium,True,1,451,EGE PDF Task
10,TEXT-SEARCH,Поиск информации в текстовых документах,2,easy,True,5,53,FIPI Base
10,TEXT-SEARCH,Поиск информации в текстовых документах,8,hard,True,5,115,Statgrad Hard
10,TEXT-SEARCH,Поиск информации в текстовых документах,4,medium,True,6,80,EGE PDF Task
11,INFO-AMOUNT,Вычисление количества информации,3,easy,True,5,900,FIPI Base
11,INFO-AMOUNT,Вычисление количества информации,8,hard,True,4,129,EGE PDF Task
11,INFO-AMOUNT,Вычисление количества информации,5,medium,True,4,1320,FIPI Bank
12,ALG-TURING,Машина Тьюринга,3,easy,True,3,5,Demo 2026
12,ALG-TURING,Машина Тьюринга,8,hard,True,1,1,Statgrad New
12,ALG-TURING,Машина Тьюринга,6,medium,True,1,12,FIPI New Model
13,NET-IP,Адресация в Интернете,3,easy,True,4,150.25.192.0,FIPI Base
13,NET-IP,Адресация в Интернете,8,hard,True,3,5,Demo 2025
13,NET-IP,Адресация в Интернете,6,medium,True,3,240,FIPI Base
14,NUM-SYSTEMS,Позиционные системы счисления,3,easy,True,2,1220,FIPI Base
14,NUM-SYSTEMS,Позиционные системы счисления,8,hard,True,2,6296,Statgrad Hard
14,NUM-SYSTEMS,Позиционные системы счисления,6,medium,True,2,87824,Demo 2025
15,LOGIC-ADV,Истинность логического выражения,3,easy,True,1,18,FIPI Base
15,LOGIC-ADV,Истинность логического выражения,9,hard,True,2,12,FIPI Hard
15,LOGIC-ADV,Истинность логического выражения,6,medium,True,1,19,FIPI Base
16,ALG-RECURSION,Рекурсивные алгоритмы,3,easy,True,2,4092529,FIPI Base
16,ALG-RECURSION,Рекурсивные алгоритмы,8,hard,True,2,30,FIPI PDF
16,ALG-RECURSION,Рекурсивные алгоритмы,5,medium,True,2,423,FIPI Base
17,ALG-SEQ,Обработка последовательностей,2,easy,True,3,3291 19156,FIPI Base
17,ALG-SEQ,Обработка последовательностей,8,hard,True,2,5526 19416,EGE PDF Task
17,ALG-SEQ,Обработка последовательностей,6,medium,True,2,4382 19416,FIPI Bank
18,DP-GRID,Динамическое программирование,2,easy,True,2,1610 639,FIPI Base
18,DP-GRID,Динамическое программирование,8,hard,True,1,2724 1040,Statgrad Hard
18,DP-GRID,Динамическое программирование,6,medium,True,2,2052 727,FIPI Walls
19,GAME-THEORY-1,Теория игр (1 куча),2,easy,True,2,"19: 14; 20: 7, 13; 21: 12",FIPI Base
19,GAME-THEORY-3,Теория игр (Ограничения),8,hard,True,1,19: ...; 20: ...; 21: ...,Statgrad Hard
19,GAME-THEORY-2,Теория игр (2 кучи),6,medium,True,1,"19: 35; 20: 31, 34; 21: 30",FIPI Base
20,,,2,easy,False,1,,
20,,,9,hard,False,1,,
20,,,5,medium,False,1,,
21,,,2,easy,False,1,,
21,,,9,hard,False,1,,
21,,,5,medium,False,1,,
22,PARALLEL-PROC,Параллельные вычисления,3,easy,True,2,805,FIPI Base
